LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	CHECKLIST COMMENTS	
2022-08-23 20:39:12.02738	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-08-20	14:38:00	obsr1707603		S117465592	Traveling	Traveling	P22			25	0.262		3	1	G8816214	75F, 7mph, cloudy; runway and around the airport	
2022-01-17 22:06:16.241911	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-10	14:00:00	obsr151037		S100963395	Traveling	Traveling	P22			13	0.348		6	1	G7698880		
2022-03-05 15:21:25.315484	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-03-04	17:15:00	obsr179558		S104234322	Stationary	Stationary	P21			10			1	0			
2022-01-15 16:34:12.523533	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-10	14:00:00	obsr142405		S100798656	Traveling	Traveling	P22			13	0.348		6	1	G7698880		
2022-01-15 18:44:48.991857	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr1109684		S100808996	Stationary	Stationary	P21			4			7	1	G7709904		
2022-01-13 23:21:16.316691	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr543784		S100691954	Stationary	Stationary	P21			4			7	1	G7709904		
2022-01-16 04:13:15.871631	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-13	15:13:00	obsr142405		S100826229	Stationary	Stationary	P21			4			7	1	G7709904		
2024-04-18 02:00:22.283208	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-17	19:48:00	obsr909601		S101393855	Stationary	Stationary	P21			9			1	1	G7780634		
2024-04-18 02:00:22.283208	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-19	16:06:00	obsr335154		S101463924	Traveling	Traveling	P22			19	3.870		8	1	G7780630		
2024-04-18 02:00:46.468212	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-01-19	16:06:00	obsr88244		S102141826	Traveling	Traveling	P22			19	3.870		8	1	G7780630		
2022-12-11 19:43:45.082489	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2022-12-10	16:45:00	obsr122372		S123792805	Incidental	Incidental	P20						1	0	G9286089		
2022-10-26 03:01:26.976176	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr162605		S108249785	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2022-10-26 03:01:25.941655	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr1451404		S108567377	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2022-02-25 14:37:45.164598	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-19	05:47:00	obsr139848		S101686866	Traveling	Traveling	P22			312	5.648		8	1	G7933185	With Manakin Tours	
2024-10-15 00:09:21.322864	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-12-13	05:58:00	obsr122372		S123916214	Traveling	Traveling	P22			354	3.943		2	1	G9313111		
2024-10-15 00:09:20.954773	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:52:00	obsr119128		S100752571	Traveling	Traveling	P22			285	6.780		2	1			
2024-10-15 00:09:21.001704	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-19	05:43:00	obsr88244		S102141818	Traveling	Traveling	P22			160	5.140		8	1	G7780631		
2022-10-26 03:01:16.964968	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr675411		S108513474	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2024-10-15 00:09:20.868465	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-09	05:34:00	obsr613983		S100469478	Traveling	Traveling	P22			480	9.000		5	1	G7698647		
2024-10-15 00:09:20.886104	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-09	05:34:00	obsr1498022		S100531489	Traveling	Traveling	P22			480	9.000		5	1	G7698647		
2024-10-15 00:09:20.97075	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-19	05:43:00	obsr909601		S101456322	Traveling	Traveling	P22			160	5.140		8	1	G7780631		
2022-04-07 11:47:26.325246	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-12	06:00:00	obsr2808225		S106457978	Traveling	Traveling	P22			300	7.000		5	1		dropped off about 1 km along the road; walked along the road from there and picked up at the same spot	
2022-04-07 09:59:54.309949	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-10	14:30:00	obsr2808225		S106455618	Traveling	Traveling	P22			160	5.000		2	1		dropped off at the junction of the main road out of Mitu and this side road, and walked along the road and returned	
2022-03-17 00:45:28.574638	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-09	05:09:00	obsr618885		S100465885	Traveling	Traveling	P22			494	6.820		5	1	G7691928		
2022-03-17 00:45:28.574638	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-09	05:09:00	obsr629016		S100465884	Traveling	Traveling	P22			494	6.820		5	1	G7691928		
2022-04-07 11:42:42.450943	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-14	06:00:00	obsr2808225		S106462193	Traveling	Traveling	P22			300	6.000		4	1		dropped off about 1 km up the road and walked from there	
2022-05-14 18:34:36.704779	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-05-14	05:05:00	obsr3149859		S110122926	Traveling	Traveling	P22			749	3.520		1	1			
2024-04-18 02:03:41.295624	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-05-21	06:00:00	obsr2774010		S111898329	Traveling	Traveling	P22			440	3.000		6	1			
2024-10-15 00:09:21.341418	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-12-13	05:58:00	obsr2875721		S124148151	Traveling	Traveling	P22			354	3.943		2	1	G9313111		
2022-05-02 22:43:54.941119	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-24	15:27:00	obsr92695		S108785412	Traveling	Traveling	P22			125	3.780		4	0			
2022-01-29 00:46:32.751888	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr151037		S101038598	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2022-05-06 14:19:14.381149	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr882835		S108508798	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2022-10-26 03:01:25.858934	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr321933		S108508628	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2023-10-24 04:12:20.787998	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-23	14:19:00	obsr669195		S103598913	Stationary	Stationary	P21			25			3	1			
2022-10-26 03:01:25.804286	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-04-26	07:14:00	obsr901896		S109595373	Traveling	Traveling	P22			360	10.000		8	1	G8272614		
2024-04-18 02:01:07.306011	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-17	14:34:00	obsr1231533		S102818043	Traveling	Traveling	P22			91	3.370		3	1	G7887539		
2022-04-01 15:40:53.491857	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-26	06:20:00	obsr2774010		S105950892	Traveling	Traveling	P22			690	3.000		9	1			
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr1184698		S122139580	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr300873		S103713285	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr760631		S103798352	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-10-23 12:32:54.779596	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-24	05:59:00	obsr92695		S133473624	Traveling	Traveling	P22			48	2.480		3	0			
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr674509		S103817282	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr1231533		S103708090	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr1180904		S103979285	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2023-06-12 22:50:09.933526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr229671		S106368195	Traveling	Traveling	P22			383	11.620		12	1	G7933876		
2022-01-09 18:55:38.57643	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-09	05:30:00	obsr1659500		S100461534	Traveling	Traveling	P22			300	6.437		1	1			
2023-11-17 15:00:07.71526	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr543784		S100746828	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2023-11-17 15:00:07.732335	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr650929		S100810609	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2023-11-17 15:00:07.673667	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr142405		S100826231	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2024-10-15 00:09:20.987551	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-19	05:43:00	obsr335154		S101463925	Traveling	Traveling	P22			160	5.140		8	1	G7780631		
2024-04-18 02:01:07.306011	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-17	14:34:00	obsr674509		S102813509	Traveling	Traveling	P22			91	3.370		3	1	G7887539		
2024-10-03 21:02:09.932478	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-03-24	05:36:00	obsr1758505		S105488742	Traveling	Traveling	P22			360	78.000		2	1			
2023-11-17 15:00:07.700167	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr535937		S100737120	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2023-11-17 15:00:07.68927	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr52680		S100795076	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2023-11-17 15:00:07.573577	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-14	05:54:00	obsr1109684		S100808984	Traveling	Traveling	P22			223	3.684		7	1	G7714647		
2022-02-25 14:58:22.146829	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-01-19	05:47:00	obsr1284258		S103701152	Traveling	Traveling	P22			312	5.648		8	1	G7933185	With Manakin Tours	
2022-02-18 13:39:39.279079	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-18	06:11:00	obsr92695		S102890386	Traveling	Traveling	P22			340	4.140		1	0			
2022-03-13 23:34:06.874759	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2022-02-25	05:53:00	obsr420381		S104789132	Traveling	Traveling	P22			383	11.620		10	1		a buscar el gallito de roca. Fuerte caminata	
2022-02-19 13:23:50.352239	Colombia	CO	Vaupés	CO-VAU							Unnamed Road, Mitú, Vaupés, CO (1.232, -70.234)	L6582925	P	1.2319267	-70.2344531	2022-02-18	15:16:00	obsr92695		S103048112	Stationary	Stationary	P21			5			3	0			
2023-01-02 10:38:21.997045	Colombia	CO	Vaupés	CO-VAU							Micro Hidroelectrica Central Santa Cruz	L7565209	P	1.0979648	-70.0527763	2022-04-17	10:06:00	obsr2067996		S125177536	Traveling	Traveling	P22			280	2.000		6	1	G9412313		
2024-04-23 11:18:01.697131	Colombia	CO	Vaupés	CO-VAU							Sendero Comunidad Indígena  Santa Cruz -  Mitú - Vaupés	L8303291	P	1.0919416	-70.0444044	2022-04-03	06:21:00	obsr433512		S106280653	Stationary	Stationary	P21			28			1	1			
2024-10-17 23:07:34.99545	Colombia	CO	Vaupés	CO-VAU							Sendero Comunidad Indígena  Santa Cruz -  Mitú - Vaupés	L8303291	P	1.0919416	-70.0444044	2022-02-22	05:18:00	obsr669195		S103546997	Traveling	Traveling	P22			360	38.000		3	1			
2024-10-15 00:41:37.251196	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr675411		S108513468	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2024-10-15 00:41:37.201824	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr162605		S108338843	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2024-10-15 00:41:37.224567	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr321933		S108508624	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2024-10-15 00:41:37.284696	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr901896		S109595369	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2024-10-15 00:41:37.361345	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr321933		S108508625	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2024-10-15 00:41:37.396812	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr901896		S109595371	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2024-10-15 00:41:37.324207	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr162605		S108256037	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2024-10-15 00:41:37.386882	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr1451404		S108567325	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2024-10-15 00:41:37.372825	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr882835		S108508796	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2024-10-15 00:41:37.38001	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-27	06:15:00	obsr675411		S108513469	Traveling	Traveling	P22			670	6.000		9	1	G8272612		
2023-10-23 14:55:10.651299	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr882835		S108565752	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-04-23 11:18:01.697131	Colombia	CO	Vaupés	CO-VAU							Sendero Comunidad Indígena  Santa Cruz -  Mitú - Vaupés	L8303291	P	1.0919416	-70.0444044	2022-10-04	05:30:00	obsr208925		S119976633	Traveling	Traveling	P22			300	3.000		4	1			
2022-12-05 02:27:28.528367	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-11-26	15:07:00	obsr162605		S123483414	Traveling	Traveling	P22			180	4.000		2	1	G9259440		
2022-12-05 02:27:28.528367	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-11-26	15:07:00	obsr3272359		S123483415	Traveling	Traveling	P22			180	4.000		2	1	G9259440		
2024-10-15 00:41:37.23807	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr882835		S108508795	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2024-10-15 00:41:37.26751	Colombia	CO	Vaupés	CO-VAU							(1.2281,-70.2288) Bocatoma	L8826226	P	1.2281450	-70.2288000	2022-04-28	06:11:00	obsr1451404		S108567162	Traveling	Traveling	P22			350	5.000		8	1	G8272611		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr162605		S107975134	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr882835		S108077381	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr1451404		S108567700	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr901896		S109595379	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr675411		S108077621	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2022-07-24 18:08:56.207332	Colombia	CO	Vaupés	CO-VAU							(1.1225,-70.0935) Puente Lata	L8826234	P	1.1224860	-70.0934850	2022-04-24	06:25:00	obsr321933		S108076845	Traveling	Traveling	P22			610	20.000		8	1	G8246009		
2024-10-03 21:02:12.901192	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr321933		S108565878	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-10-03 21:02:12.816293	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr1451404		S108760669	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-10-03 21:02:12.942897	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr901896		S109595363	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-02-05 09:30:08.004416	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr162605		S108565628	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-10-03 21:02:12.924095	Colombia	CO	Vaupés	CO-VAU							(1.1393,-70.1280) Pueblo Nuevo	L8826256	P	1.1393130	-70.1279600	2022-04-30	06:30:00	obsr675411		S108565629	Traveling	Traveling	P22			292	2.000		9	1	G8277385		
2024-10-15 01:00:16.409279	Colombia	CO	Vaupés	CO-VAU							Carurú, Vaupés, CO (1.01, -71.292)	L10272278	P	1.0104172	-71.2915970	2023-05-13	05:40:00	obsr1198462		S137539965	Traveling	Traveling	P22			718	10.470		3	1	G10213353		
2024-10-15 01:00:16.426035	Colombia	CO	Vaupés	CO-VAU							Carurú, Vaupés, CO (1.01, -71.292)	L10272278	P	1.0104172	-71.2915970	2023-05-13	05:40:00	obsr723466		S137567799	Traveling	Traveling	P22			718	10.470		3	1	G10213353		
2023-10-21 14:24:04.25616	Colombia	CO	Vaupés	CO-VAU							Vaupés, CO (1,135, -70,122)	L10331801	P	1.1353884	-70.1219050	2023-10-14	06:21:00	obsr771766		S152572384	Traveling	Traveling	P22			73	0.850		7	1	G11010471		
2023-10-30 18:34:26.410623	Colombia	CO	Vaupés	CO-VAU							Vaupés, CO (1,135, -70,122)	L10331801	P	1.1353884	-70.1219050	2023-10-14	06:21:00	obsr1318794		S153434085	Traveling	Traveling	P22			73	0.850		7	1	G11010471		
2023-10-30 18:34:26.557269	Colombia	CO	Vaupés	CO-VAU							Queramiki, Vaupés, CO (1,208, -70,196)	L10335754	P	1.2080642	-70.1958895	2023-10-13	16:01:00	obsr1318794		S153434087	Traveling	Traveling	P22			54	1.050		7	1	G11010473		
2024-10-15 01:01:28.556588	Colombia	CO	Vaupés	CO-VAU							Vaupés, CO (1,135, -70,122)	L10331801	P	1.1353884	-70.1219050	2023-10-14	05:56:00	obsr1217628		S152574827	Stationary	Stationary	P21			20			7	1	G11010472		
